	序号NO.	地区REGION	产品类别CATEGORY	在华注册编号CHINA REG. NO.	所在地区注册编号OVERSEAS REG. NO.	企业名称NAME	生产场所地址ADDRESS	注册日期REG. DATE	注册有效期REG. EXPIRE DATE	状态STATE
2703	2704	中国台湾	食醋	CTWN28032201200008	9960318900	鮮太王食品工業股份有限公司	新北市土城區裕生里日新街50號	2022-01-20	2027-01-20	有效
2704	2705	中国台湾	其他调味品	CTWN28052201200049	80620093	立騏生技股份有限公司	雲林縣斗六市斗工十二路6號	2022-01-20	2027-01-20	暂停进口
2705	2706	中国台湾	糖果	CTWN27012201110030	27963598	颖祥国际有限公司	新北市汐止区康宁街169巷31号6楼之3	2022-01-11	2027-01-11	暂停进口
2706	2707	中国台湾	果酱	CTWN30012201110002	53622246	幾木朵生物科技有限公司	台中市潭子區大明一路81號	2022-01-11	2027-01-11	有效
2707	2708	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012201110019	84533141	天素食品有限公司	台中市清水区秀水里海滨路178-33号	2022-01-11	2027-01-11	有效
2708	2709	中国台湾	粮食制品以及其它产品	CTWN20012201110074	85933427	永芳製麵廠	臺南市關廟區花園里園東街86巷13號1樓	2022-01-11	2027-01-11	有效
2709	2710	中国台湾	糖浆	CTWN26042201110022	E-189418367-00001-9	速八國際食品有限公司	高雄市三民區安東街39號	2022-01-11	2027-01-11	有效
2710	2711	中国台湾	蜜饯	CTWN31012201200013	97851174	榮泰行	彰化縣員林市鎮興里019鄰員東路一段108巷80號	2022-01-20	2027-01-20	暂停进口
2711	2712	中国台湾	蜜饯	CTWN31012201200012	80428842	紫梅王生化科技股份有限公司	桃園市中壢區內定里文中路2段257巷162號	2022-01-20	2027-01-20	有效
2712	2713	中国台湾	其他调味品	CTWN28052201200051	E-175111056-00000-8	民生食品工厂	高雄市三民区昌裕街88巷10号	2022-01-20	2027-01-20	有效
2713	2714	中国台湾	其他调味品	CTWN28052201200053	28089384	瑞升国际股份有限公司	中国台湾省南投县南投市永丰里南岗三路244号	2022-01-20	2027-01-20	有效
2714	2715	中国台湾	粮食制品以及其它产品	CTWN20012201110076	F-170738122-00001-4	京工興業有限公司	中和區新民街94巷12號	2022-01-11	2027-01-11	有效
2715	2716	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012201110016	45123800	誠泰食品有限公司	台灣省雲林縣西螺鎮福田里社口68-56號	2022-01-11	2027-01-11	有效
2716	2717	中国台湾	果蔬汁及其饮料	CTWN24022201110016	53253279	吳家紅茶冰有限公司	高雄市鳥松區仁美里美山路33號	2022-01-11	2027-01-11	有效
2717	2718	中国台湾	糖果	CTWN27012201110026	H-180437531-00001-7	大郭食品有限公司	桃园市龙潭区梅龙三街116巷241弄2-1号	2022-01-11	2027-01-11	有效
2718	2719	中国台湾	其他调味品	CTWN28052201110032	E-200022305-00000-5	雅植歐洲香草園商行	高雄市大樹區井腳里井腳路108號	2022-01-11	2027-01-11	有效
2719	2720	中国台湾	糖果	CTWN27012201110028	B-124377005-00001-8	捷康生技有限公司	台湾台中市大雅区振兴三路	2022-01-11	2027-01-11	暂停进口
2720	2721	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012201290024	F-105174211-00000-4	頂記食品股份有限公司	新北市五股區五工路144號1樓	2022-01-29	2027-01-29	有效
2721	2722	中国台湾	粮食制品以及其它产品	CTWN20012201290099	A-124542032-00000-0	信丰农业科技股份有限公司	臺北市信義區忠孝東路五段68號21樓A3	2022-01-29	2027-01-29	有效
2722	2723	中国台湾	粮食制品以及其它产品	CTWN20012201290097	E-168339681-00001-7	奇美食品股份有限公司湖內廠	高雄市湖內區公館里中山路二段51號	2022-01-29	2027-01-29	有效
2723	2724	中国台湾	粮食制品以及其它产品	CTWN20012201290098	07488110	福润食品股份有限公司	新北市芦洲区国道路二段1巷52号4楼	2022-01-29	2027-01-29	有效
2724	2725	中国台湾	其他糖果、巧克力	CTWN27032201200017	53719023	豐稷食品有限公司	新北市新店區寶興路45巷3號4樓	2022-01-20	2027-01-20	有效
2725	2726	中国台湾	固体饮料	CTWN24082201110062	N-153804288-00000-9	宏總生化科技股份有限公司	彰化县花坛乡中庄村中山路一段37号	2022-01-11	2027-01-11	暂停进口
2726	2727	中国台湾	果酱	CTWN30012201110001	53896759	黃家農莊有限公司	高雄市六龜區新興里二坡97號	2022-01-11	2027-01-11	有效
2727	2728	中国台湾	饼干、糕点、面包	CTWN25012201110066	12995592	东方聚利食品工业有限公司	新北市汐止区福德一路413号	2022-01-11	2027-01-11	暂停进口
2728	2729	中国台湾	其他调味品	CTWN28052201110033	27609181	川岳生物科技股份有限公司	中国台湾台南市仁德區保安里文賢路1段510號	2022-01-11	2027-01-11	有效
2729	2730	中国台湾	茶（类）饮料	CTWN24052201110018	TW2100131	東鄉食品股份有限公司	彰化縣埔心鄉員鹿路5段45號	2022-01-11	2027-01-11	暂停进口
2730	2731	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012201290023	80315278	YE.YENGEN	No.600-2, Sec.8,	2022-01-29	2027-01-29	有效
2731	2732	中国台湾	食用盐	CTWN28012201200002	54594388	食在良品國際有限公司	台中市豐原區大順街52號	2022-01-20	2027-01-20	有效
2732	2733	中国台湾	膨化食品	CTWN31022201200030	55956268	易兆环球有限公司	嘉义市西区福全里福义街33号1楼	2022-01-20	2027-01-20	有效
2733	2734	中国台湾	其他糖果、巧克力	CTWN27032201200016	T-129184631-00000-1	乔本生医股份有限公司	屏东县长治乡德和村园东一街2号3楼	2022-01-20	2027-01-20	有效
2734	2735	中国台湾	其他饮料	CTWN24092201200064	E-188316341-00001-7	福记冷冻食品股份有限公司	中国台湾省高雄市路竹区268号	2022-01-20	2027-01-20	有效
2735	2736	中国台湾	坚果及籽类制品	CTWN22012201110006	H-153961266-00001-4	好分享生技有限公司	桃園市楊梅區中山里環東路289號1、2、3樓	2022-01-11	2027-01-11	有效
2736	2737	中国台湾	经烘焙的咖啡豆及其制品	CTWN29012201110010	27609181	川岳生物科技股份有限公司	中国台湾台南市仁德區保安里文賢路1段510號	2022-01-11	2027-01-11	有效
2737	2738	中国台湾	果冻	CTWN31052201110016	TW2100165	蔻拉蜜生物科技有限公司	台湾高雄市盐埕区五福四路140号1楼	2022-01-11	2027-01-11	暂停进口
2738	2739	中国台湾	其他糖	CTWN26052201110009	23072933	油福有限公司	高雄市大寮区成功路209巷18号	2022-01-11	2027-01-11	暂停进口
2739	2740	中国台湾	其他调味品	CTWN28052201110031	96865024	鲜大王企业股份有限公司	桃园市平镇区关爷东路35号	2022-01-11	2027-01-11	暂停进口
2740	2741	中国台湾	植物饮料	CTWN24072201210025	A-154683558-00000-2	宇耕生物科技有限公司	臺北市信義區忠孝東路5段669號6樓	2022-01-21	2027-01-21	暂停进口
2741	2742	中国台湾	固体饮料	CTWN24082201210108	29080946	BIO HEED INTERNATIONAL CO., LTD.	16F.-3, No.447, Sec. 1, Zhongqing Rd., Mingxin Vil., North Dist, Taichung City 40460	2022-01-21	2027-01-21	有效
2742	2743	中国台湾	固体饮料	CTWN24082201210105	H-153961266-00001-4	好分享生技有限公司	桃園市楊梅區中山里環東路289號1、2、3樓	2022-01-21	2027-01-21	有效
2743	2744	中国台湾	固体饮料	CTWN24082201210106	12800631	优生生物科技股份有限公司	中国台湾省台中市西屯区科园路26号	2022-01-21	2027-01-21	暂停进口
2744	2745	中国台湾	固体饮料	CTWN24082201210107	05-000578	爱家康养有限公司	苗栗县苗栗市水源里8邻育民街39号	2022-01-21	2027-01-21	有效
2745	2746	中国台湾	糖浆	CTWN26042201110021	80407620	喜多生物科技事业有限公司	地址台中市大里區草堤路101巷19號	2022-01-11	2027-01-11	有效
2746	2747	中国台湾	饼干、糕点、面包	CTWN25012201110067	B-153018704-00000-7	貝里斯商華大興業有限公司	台中市清水區南社路65-1號	2022-01-11	2027-01-11	有效
2747	2748	中国台湾	包装饮用水	CTWN24012201110004	99630753	中央大貝山礦泉水有限公司横山厂	新竹縣橫山鄉豐鄉村大山背12號	2022-01-11	2027-01-11	有效
2748	2749	中国台湾	其他调味品	CTWN28052201110034	66-001321	美味王食品工业有限公司	台中市大里区仁化工三路113号	2022-01-11	2027-01-11	有效
2749	2750	中国台湾	饼干、糕点、面包	CTWN25012201110069	F-154724312-00001-2	長珍食品有限公司	新北市樹林區東順街82-4號2樓	2022-01-11	2027-01-11	暂停进口
2750	2751	中国台湾	其他调味品	CTWN28052201210055	86071123	隆太生技食品有限公司	台中市南屯区工业20路11号	2022-01-21	2027-01-21	有效
2751	2752	中国台湾	饼干、糕点、面包	CTWN25012201210089	65485225	咪咪樂企業股份有限公司	嘉義縣民雄鄉福樂村建國路三段260巷13號	2022-01-21	2027-01-21	暂停进口
2752	2753	中国台湾	糖果	CTWN27012201200044	H-186830223-00001-8	豆之家食品科技股份有限公司	台灣桃園市蘆竹區南崁路二段226巷31號	2022-01-20	2027-01-20	有效
2753	2754	中国台湾	果蔬汁及其饮料	CTWN24022201110017	40756220	保證責任屏東縣金園農產品生產合作社	台湾省屏东县盐埔乡盐中村新埔路1010号	2022-01-11	2027-01-11	暂停进口
2754	2755	中国台湾	食醋	CTWN28032201110004	03028426	大安工研食品工厂股份有限公司	中国台湾省台北市大安区忠孝东路3段10巷1号1楼	2022-01-11	2027-01-11	暂停进口
2755	2756	中国台湾	食醋	CTWN28032201110005	35426782	萬家香醬園股份有限公司	台北市中山區德惠街9號5樓之6	2022-01-11	2027-01-11	暂停进口
2756	2757	中国台湾	蛋白饮料	CTWN24032201110011	27609181	川岳生物科技股份有限公司	中国台湾台南市仁德區保安里文賢路1段510號	2022-01-11	2027-01-11	有效
2757	2758	中国台湾	茶（类）饮料	CTWN24052201110016	A-184763902-00000-7	志同实业股份有限公司	中国台湾省新北市新竹县湖口乡光华路9巷26号	2022-01-11	2027-01-11	暂停进口
2758	2759	中国台湾	食品加工用菌种	CTWN31042201110009	B-127470320-00000-4	元弘草本科研有限公司	中国台湾台中市北区崇德路一段631号14F-2	2022-01-11	2027-01-11	有效
2759	2760	中国台湾	蛋白饮料	CTWN24032201110010	TW2100131	東鄉食品股份有限公司	彰化縣埔心鄉員鹿路5段45號	2022-01-11	2027-01-11	暂停进口
2760	2761	中国台湾	饼干、糕点、面包	CTWN25012201210090	28200824	傌克斯国际股份有限公司	台北市信义路一段5之1号	2022-01-21	2027-01-21	暂停进口
2761	2762	中国台湾	茶叶类	CTWN21012201210086	39703817	堯嶺茶業企業社	雲林縣二崙鄉崙東村中山路一段93號1樓	2022-01-21	2027-01-21	暂停进口
2762	2763	中国台湾	茶叶类	CTWN21012201210085	H-128753629-00000-7	普傳農產股份有限公司	桃園市大園區埔心里20鄰85號	2022-01-21	2027-01-21	有效
2763	2764	中国台湾	其他调味品	CTWN28052201210056	54576847	鼎和食品有限公司	學甲區新達里頂山寮61之20號	2022-01-21	2027-01-21	有效
2764	2765	中国台湾	其他调味品	CTWN28052201110035	86136420	行銷企劃	中國台灣嘉義縣民雄鄉北斗村中正路36號	2022-01-11	2027-01-11	暂停进口
2765	2766	中国台湾	蛋白饮料	CTWN24032201110012	N-160314693-00000-3	春喬食品興業股份有限公司	彰化縣員林市山腳路三段25巷72號	2022-01-11	2027-01-11	有效
2766	2767	中国台湾	蜜饯	CTWN31012201110008	55956268	易兆环球有限公司	嘉义市西区福全里福义街33号1楼	2022-01-11	2027-01-11	有效
2767	2768	中国台湾	果蔬汁及其饮料	CTWN24022201110018	80407620	喜多生物科技事业有限公司	地址台中市大里區草堤路101巷19號	2022-01-11	2027-01-11	有效
2768	2769	中国台湾	饼干、糕点、面包	CTWN25012201110068	T-123666920-00002-3	味一食品有限公司	屏東縣枋寮鄉東海村精進路35號	2022-01-11	2027-01-11	有效
2769	2770	中国台湾	固体饮料	CTWN24082201110063	B-127470320-00000-4	元弘草本科研有限公司	中国台湾台中市北区崇德路一段631号14F-2	2022-01-11	2027-01-11	有效
2770	2771	中国台湾	粮食制品以及其它产品	CTWN20012201290105	68000680	新和食品股份有限公司	中國台灣桃園市平鎮區新安里洪圳路378號	2022-01-29	2027-01-29	有效
2771	2772	中国台湾	粮食制品以及其它产品	CTWN20012201290101	53828107	好祺企業有限公司	台灣省彰化縣福興鄉同安村同安巷52-2號1樓	2022-01-29	2027-01-29	有效
2772	2773	中国台湾	其他调味品	CTWN28052201210057	05000551	侖騏有限公司	苗栗縣苑裡鎮社苓里2鄰社苓21-6號	2022-01-21	2027-01-21	有效
2773	2774	中国台湾	其他调味品	CTWN28052201210058	86117471	石城实业股份有限公司	台中市大里区树王里东兴路506号	2022-01-21	2027-01-21	有效
2774	2775	中国台湾	固体饮料	CTWN24082201110065	H-105007903-00001-0	金车股份有限公司平镇厂	中国台湾桃源县平镇市镇兴里中兴路平镇段527号	2022-01-11	2027-01-11	有效
2775	2776	中国台湾	咖啡（类）饮料	CTWN24062201110006	A-124322966-00000-2	梅翠思生物科技股份有限公司	台北市中山區林森北路380號5樓503室	2022-01-11	2027-01-11	有效
2776	2777	中国台湾	果蔬汁及其饮料	CTWN24022201110019	T-200132975-00001-6	青田農業股份有限公司	台灣省潮州鎮光春路616號	2022-01-11	2027-01-11	暂停进口
2777	2778	中国台湾	茶（类）饮料	CTWN24052201110017	80727665	匯竑國際股份有限公司	雲林縣斗六市溪洲里科加六路18號	2022-01-11	2027-01-11	有效
2778	2779	中国台湾	碳酸饮料	CTWN24042201110005	H-135012903-00001-9	大西洋饮料股份有限公司平鎮工廠	桃園市平鎮區南勢里南東路410號	2022-01-11	2027-01-11	有效
2779	2780	中国台湾	其他调味品	CTWN28052201110036	03028426	大安工研食品工廠股份有限公司	中国台湾省台北市大安区忠孝东路3段10巷1号1楼	2022-01-11	2027-01-11	有效
2780	2781	中国台湾	茶叶类	CTWN21012201210084	55838777	昕缇茶叶有限公司	台北市大安区光复南路412号6楼之2	2022-01-21	2027-01-21	暂停进口
2781	2782	中国台湾	坚果及籽类制品	CTWN22012201210014	B-112999372-00000-1	成偉食品股份有限公司	台中市梧棲區自立一街178號	2022-01-21	2027-01-21	有效
2782	2783	中国台湾	果冻	CTWN31052201210029	68000282	名虹實業有限公司	民族路双连二段118巷49弄34号	2022-01-21	2027-01-21	暂停进口
2783	2784	中国台湾	茶叶类	CTWN21012201210083	A170370357000000	台朔环保科技股份有限公司	台湾省台北市松山区敦化北路201之24号5楼	2022-01-21	2027-01-21	有效
2784	2785	中国台湾	茶叶类	CTWN21012201110044	H-153961266-00001-4	好分享生技有限公司	桃園市楊梅區環東路289號	2022-01-11	2027-01-11	有效
2785	2786	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012201110011	61850622	佳思多全球贸易有限公司	彰化县福兴乡沿海路四段596号	2022-01-11	2027-01-11	有效
2786	2787	中国台湾	果冻	CTWN31052201110018	23101590	昌臨實業股份有限公司	台中市西屯區協和里工業區三十五路20號	2022-01-11	2027-01-11	暂停进口
2787	2788	中国台湾	蔬菜及其制品（保鲜和脱水蔬菜除外）	CTWN19012201110012	54255367	益康國際食品有限公司	中豐路533巷58號	2022-01-11	2027-01-11	有效
2788	2789	中国台湾	其他糖	CTWN26052201110010	55956268	易兆环球有限公司	嘉义市西区福全里福义街33号1楼	2022-01-11	2027-01-11	有效
2789	2790	中国台湾	植物饮料	CTWN24072201110013	27215454	康順生物科技股份有限公司	台灣省台南市南區彰南里新和一路1巷1號及3號	2022-01-11	2027-01-11	有效
2790	2791	中国台湾	粮食制品以及其它产品	CTWN20012201290110	22425683	日正食品工業股份有限公司	台北市文山區萬芳路21號1樓	2022-01-29	2027-01-29	有效
2791	2792	中国台湾	其他饮料	CTWN24092201210066	24593117	当代生活国际有限公司	台中市北屯区平安里文心路四段696号23楼之1	2022-01-21	2027-01-21	有效
2792	2793	中国台湾	饼干、糕点、面包	CTWN25012201180079	N-114631350-00002-6	川元食品行	中国台湾彰化县福兴乡镇平村阿力街16-38号	2022-01-18	2027-01-18	有效
2793	2794	中国台湾	饼干、糕点、面包	CTWN25012201180080	D-168339681-00004-9	奇美食品股份有限公司仁德廠	台南市仁德區仁愛里機場路1008號	2022-01-18	2027-01-18	有效
2794	2795	中国台湾	果蔬汁及其饮料	CTWN24022201110020	TW2100131	東鄉食品股份有限公司	彰化縣埔心鄉員鹿路5段45號	2022-01-11	2027-01-11	暂停进口
2795	2796	中国台湾	固体饮料	CTWN24082201110064	F-170738122-00001-4	京工興業有限公司	中和區新民街94巷12號	2022-01-11	2027-01-11	有效
2796	2797	中国台湾	膨化食品	CTWN31022201110027	24422579	司麥爾食品股份有限公司	新北市八里區觀海大道171號	2022-01-11	2027-01-11	暂停进口
2797	2798	中国台湾	包装饮用水	CTWN24012201110005	K-189397503-00002-4	臺鹽實業股份有限公司通霄精鹽廠	苗栗縣通霄鎮內島里122號	2022-01-11	2027-01-11	有效
2798	2799	中国台湾	糖果	CTWN27012201110027	B-184424848-00000-1	宜农生物科技食品有限公司	台湾台中市神冈区中山路667巷62弄2-10号	2022-01-11	2027-01-11	暂停进口
2799	2800	中国台湾	饼干、糕点、面包	CTWN25012201110070	24240515	福源花生酱福源商行	彰化縣線西鄉和線路741巷5.7號	2022-01-11	2027-01-11	暂停进口
2800	2801	中国台湾	酱油	CTWN28022201180020	53788908	歐穀林國際有限公司	台中市豐原區大順街52號	2022-01-18	2027-01-18	有效
2801	2802	中国台湾	膨化食品	CTWN31022201180028	65007820	荷旺企業有限公司	新北市新莊區新樹路501號	2022-01-18	2027-01-18	有效
2802	2803	中国台湾	糖浆	CTWN26042201180027	16053122	東佳貿易有限公司	台中市太平區鵬儀路214巷6弄3號	2022-01-18	2027-01-18	暂停进口
2803	2804	中国台湾	其他糖果、巧克力	CTWN27032201180015	42801828	妙见食品股份有限公司	屏东县长治乡德和村神农东路31号	2022-01-18	2027-01-18	暂停进口
2804	2805	中国台湾	果冻	CTWN31052201180025	N-124619123-00001-0	新巧風食品企業有限公司	彰化縣花壇鄉花壇街173巷5號	2022-01-18	2027-01-18	暂停进口
2805	2806	中国台湾	蜜饯	CTWN31012201180011	53896759	黃家農莊有限公司	高雄市六龜區新興里二坡97號	2022-01-18	2027-01-18	有效
2806	2807	中国台湾	果冻	CTWN31052201180028	27680058	蕾迪诗生物科技股份有限公司	屏东长治乡德和村6邻圆西二路38號3樓	2022-01-18	2027-01-18	暂停进口
2807	2808	中国台湾	果冻	CTWN31052201180026	29077843	丰禾兴业有限公司	台北市中山区松江路221巷29号	2022-01-18	2027-01-18	有效
2808	2809	中国台湾	果冻	CTWN31052201180027	九九-六五八四00-00	佳泉食品廠	台南縣西港鄉劉厝村劉厝八之一 一號	2022-01-18	2027-01-18	有效
2809	2810	中国台湾	酱油	CTWN28022201180019	12828672	喜樂之泉股份有限公司	彰化縣社頭鄉善德巷45號	2022-01-18	2027-01-18	有效
2810	2811	中国台湾	固体饮料	CTWN24082201200098	9964060800	大榮生物科技股份有限公司	鵬儀路296巷16弄10號	2022-01-20	2027-01-20	暂停进口
2811	2812	中国台湾	固体饮料	CTWN24082201200103	B-116382525-00000-1	金佳鋒生物科技股份有限公司	台中市霧峰區南柳里新厝路261巷10弄22號	2022-01-20	2027-01-20	暂停进口
2812	2813	中国台湾	固体饮料	CTWN24082201200104	A-127819975-00000-6	美格威國際有限公司	新竹縣市竹北市大眉里中華路1150巷68號	2022-01-20	2027-01-20	暂停进口
2813	2814	中国台湾	果蔬汁及其饮料	CTWN24022201200025	91039004	佳寶興業有限公司	彰化縣彰化市南興里中山路一段395巷28弄16號1樓	2022-01-20	2027-01-20	暂停进口
2814	2815	中国台湾	其他饮料	CTWN24092201180062	29077843	丰禾兴业有限公司	台北市中山区松江路221巷29号	2022-01-18	2027-01-18	有效
2815	2816	中国台湾	食品加工用菌种	CTWN31042201170010	67003177	益佳元生物科技股份有限公司	台南市新市区大营里丰荣188之6、之7,、之8号	2022-01-17	2027-01-17	有效
2816	2817	中国台湾	果冻	CTWN31052201170024	N-112642795-00001-8	漢碩食品有限公司	中國台灣彰化縣大村鄉美港村美港路130巷25號	2022-01-17	2027-01-17	有效
2817	2818	中国台湾	蜜饯	CTWN31012201170010	81259823	良飴食品行	台南市東區林森路二段91巷1號	2022-01-17	2027-01-17	有效
2818	2819	中国台湾	蜜饯	CTWN31012201170009	N-160329788-00000-4	泰泉食品股份有限公司	彰化县员林市仑雅里仑雅巷5-26号	2022-01-17	2027-01-17	有效
2819	2820	中国台湾	果冻	CTWN31052201170023	15818000205	久醇食品有限公司	台中市大甲区顶店里南北一路108巷6号	2022-01-17	2027-01-17	有效
2820	2821	中国台湾	粮食制品以及其它产品	CTWN20012201180084	27609181	川岳生物科技股份有限公司	中国台湾台南市仁德區保安里文賢路1段510號	2022-01-18	2027-01-18	有效
2821	2822	中国台湾	经烘焙的可可豆及其制品	CTWN29022201180004	80164927	上島食品股份有限公司	新北市新店區安康路二段321號	2022-01-18	2027-01-18	暂停进口
2822	2823	中国台湾	其他调味品	CTWN28052201180046	16053122	東佳貿易有限公司	台中市太平區鵬儀路214巷6弄3號	2022-01-18	2027-01-18	暂停进口
2823	2824	中国台湾	糖果	CTWN27012201180039	D-114982405-00000-4	恩澤企業社	台南市永康区埔园里自强路580号1楼	2022-01-18	2027-01-18	有效
2824	2825	中国台湾	饼干、糕点、面包	CTWN25012201180083	28051824	勝群食品有限公司	台中市西區精美街61號1樓	2022-01-18	2027-01-18	有效
2825	2826	中国台湾	粮食制品以及其它产品	CTWN20012201180086	A-120934887-00000-9	力象股份有限公司	台北市南港區三重路19-3號9樓之3	2022-01-18	2027-01-18	有效
2826	2827	中国台湾	其他饮料	CTWN24092201180060	N-160314693-00000-3	春喬食品興業股份有限公司	彰化縣員林市山腳路三段25巷72號	2022-01-18	2027-01-18	有效
2827	2828	中国台湾	膨化食品	CTWN31022201180029	89626560	廷懋食品有限公司	中國台灣台北市信義區松仁路228巷9弄5號一樓	2022-01-18	2027-01-18	暂停进口
2828	2829	中国台湾	饼干、糕点、面包	CTWN25012201180085	B-160288196-00000-9	泰中寶代購有限公司	台中市西屯區工業42路41號	2022-01-18	2027-01-18	有效
2829	2830	中国台湾	食品加工用菌种	CTWN31042201170011	07-002331	富昱生化科技股份有限公司	彰化縣溪湖鎮西溪里忠溪路178巷28號	2022-01-17	2027-01-17	有效
2830	2831	中国台湾	果蔬汁及其饮料	CTWN24022201200024	Q-186217252-00000-7	建昌食品股份有限公司	嘉義縣義竹鄉龍蛟村義竹工業區義工一路2之1號	2022-01-20	2027-01-20	有效
2831	2832	中国台湾	固体饮料	CTWN24082201200099	25177721	雅瑪益國際開發有限公司	台中市沙鹿區興安里斗潭路285巷34號1樓	2022-01-20	2027-01-20	暂停进口
2832	2833	中国台湾	植物饮料	CTWN24072201200024	B-156121907-0000-0	味丹企業股份有限公司	中國台灣省臺中市沙鹿區興安路65號	2022-01-20	2027-01-20	有效
2833	2834	中国台湾	果蔬汁及其饮料	CTWN24022201200026	60288196	泰中寶代購有限公司	臺中市南屯區寶山里工業二十五路18號	2022-01-20	2027-01-20	有效
2834	2835	中国台湾	固体饮料	CTWN24082201180085	16264386	有幾園生物科技股份有限公司	台中市梧棲區港埠路一段537號	2022-01-18	2027-01-18	有效
2835	2836	中国台湾	其他调味品	CTWN28052201180048	N-122907817-0000-7	祥豪兴业有公司	员林市仑雅里仑雅巷8-15号	2022-01-18	2027-01-18	暂停进口
2836	2837	中国台湾	固体饮料	CTWN24082201180096	B-127605517-00000-2	味丹生物科技股份有限公司	中国台湾台中县沙鹿镇斗抵里兴安路81号1楼	2022-01-18	2027-01-18	有效
2837	2838	中国台湾	糖果	CTWN27012201180043	47110078	唐舖子食品股份有限公司	新北市中和區立德街128號7樓	2022-01-18	2027-01-18	有效
2838	2839	中国台湾	乳糖	CTWN26032201180001	TW2100053	大江生医股份有限公司	屏东县长治乡德和村神农路12号	2022-01-18	2027-01-18	有效
2839	2840	中国台湾	食品加工用菌种	CTWN31042201180013	TW2100053	大江生医股份有限公司	屏东县长治乡德和村神农路12号	2022-01-18	2027-01-18	暂停进口
2840	2841	中国台湾	固体饮料	CTWN24082201200101	F-184628110-00000-3	義峰食品股份有限公司	新北市土城區忠義路55巷54號	2022-01-20	2027-01-20	有效
2841	2842	中国台湾	固体饮料	CTWN24082201200100	B-150814374-00000-1	源正國際商貿有限公司	台中市南區福平街106號1樓	2022-01-20	2027-01-20	有效
2842	2843	中国台湾	其他饮料	CTWN24092201180058	F-184342380-00000-5	耆盛企業股份有限公司	台灣省新北市樹林區八德街280巷3號3F	2022-01-18	2027-01-18	暂停进口
2843	2844	中国台湾	蛋白质及其衍生物	CTWN31062201180004	99657739	昌德珍实业有限公司	台南市官田区工业南路25号	2022-01-18	2027-01-18	有效
2844	2845	中国台湾	其他调味品	CTWN28052201180045	D-123103627-00000-5	福汎企业股份有限公司	永康区中正路279巷15号	2022-01-18	2027-01-18	有效
2845	2846	中国台湾	其他饮料	CTWN24092201180059	53365181	誠佳企業股份有限公司	台南市新市區豐榮188之43號1樓	2022-01-18	2027-01-18	有效
2846	2847	中国台湾	糖果	CTWN27012201180042	42872371	跨境通商贸股份有限公司	台中市北区忠明路５０２之１号７楼之１号	2022-01-18	2027-01-18	有效
2847	2848	中国台湾	其他糖果、巧克力	CTWN27032201180014	80315278	乙元珍企業有限公司	台中市烏日區環中路八段600-2號	2022-01-18	2027-01-18	有效
2848	2849	中国台湾	其他调味品	CTWN28052201180047	54594388	食在良品國際有限公司	台中市豐原區大順街52號	2022-01-18	2027-01-18	有效
2849	2850	中国台湾	粮食制品以及其它产品	CTWN20012201170081	12995592	东方聚利食品工业有限公司	新北市汐止区福德一路413号	2022-01-17	2027-01-17	有效
2850	2851	中国台湾	食品加工用菌种	CTWN31042201180012	B-124367962-00000-8	鋐阳生物科技有限公司	中国台湾台中市北区崇德路一段631号14F-2	2022-01-18	2027-01-18	有效
2851	2852	中国台湾	其他饮料	CTWN24092201180063	B-127605517-00000-2	味丹生物科技股份有限公司	中国台湾台中县沙鹿镇斗抵里兴安路81号1楼	2022-01-18	2027-01-18	有效
2852	2853	中国台湾	其他饮料	CTWN24092201180061	H-135012903-00001-9	大西洋饮料股份有限公司平鎮工廠	桃園市平鎮區南勢里南東路410號	2022-01-18	2027-01-18	暂停进口
2853	2854	中国台湾	糖果	CTWN27012201180038	54556949	恩澤生物科技食品有限公司	台南市永康區東橋里中正路217巷１號	2022-01-18	2027-01-18	有效
2854	2855	中国台湾	经烘焙的咖啡豆及其制品	CTWN29012201180014	70377252	拉瑞亞有限公司	2 Floor-5,-6, No.16, Lane 270, Section 3, Beishen Road, Shenkeng District, New Taipei City	2022-01-18	2027-01-18	有效
2855	2856	中国台湾	固体饮料	CTWN24082201180089	27609181	川岳生物科技股份有限公司	中国台湾台南市仁德區保安里文賢路1段510號	2022-01-18	2027-01-18	有效
2856	2857	中国台湾	饼干、糕点、面包	CTWN25012201180084	I-142978774-00000-4	果守食品有限公司	嘉義市西區健康十六街62號	2022-01-18	2027-01-18	暂停进口
2857	2858	中国台湾	其他糖	CTWN26052201180013	89626560	廷懋食品有限公司	中國台灣台北市信義區松仁路228巷9弄5號一樓	2022-01-18	2027-01-18	暂停进口
2858	2859	中国台湾	糖果	CTWN27012201180041	54696667	維喆禮坊食品股份有限公司	新北市中和區立德街128號7樓	2022-01-18	2027-01-18	有效
2859	2860	中国台湾	糖果	CTWN27012201180040	83565931	贞采实业有限公司	新北市汐止区新台五路1段234号8楼	2022-01-18	2027-01-18	有效
2860	2861	中国台湾	植物饮料	CTWN24072201200021	A-124322966-00000-2	梅翠思生物科技股份有限公司	台北市大安區敦化南路二段105號26樓	2022-01-20	2027-01-20	有效
